"STATION","DATE","TAVG"
"USW00024234","1999-03-08","48"
"USW00024234","1999-03-09","44"
"USW00024234","1999-03-10","45"
"USW00024234","1999-03-11","44"
"USW00024234","1999-03-12","47"
"USW00024234","1999-03-13","51"
"USW00024234","1999-03-14","49"
"USW00024234","1999-03-15","43"
"USW00024234","1999-03-16","45"
"USW00024234","1999-03-17","47"
"USW00024234","1999-03-18","47"
"USW00024234","1999-03-19","50"
"USW00024234","1999-03-20","54"
"USW00024234","1999-03-21","53"
"USW00024234","1999-03-22","55"
"USW00024234","1999-03-23","52"
"USW00024234","1999-03-24","50"
"USW00024234","1999-03-25","47"
"USW00024234","1999-03-26","44"
"USW00024234","1999-03-27","42"
"USW00024234","1999-03-28","42"
"USW00024234","1999-03-29","45"
"USW00024234","1999-03-30","43"
"USW00024234","1999-03-31","45"
"USW00024234","1999-04-01","44"
"USW00024234","1999-04-02","43"
"USW00024234","1999-04-03","42"
"USW00024234","1999-04-04","42"
"USW00024234","1999-04-05","45"
"USW00024234","1999-04-06","47"
"USW00024234","1999-04-07","48"
"USW00024234","1999-04-08","44"
"USW00024234","1999-04-09","43"
"USW00024234","1999-04-10","49"
"USW00024234","1999-04-11","52"
"USW00024234","1999-04-12","52"
"USW00024234","1999-04-13","49"
"USW00024234","1999-04-14","49"
"USW00024234","1999-04-15","60"
"USW00024234","1999-04-16","64"
"USW00024234","1999-04-17","63"
"USW00024234","1999-04-18","55"
"USW00024234","1999-04-19","48"
"USW00024234","1999-04-20","48"
"USW00024234","1999-04-21","48"
"USW00024234","1999-04-22","52"
"USW00024234","1999-04-23","55"
"USW00024234","1999-04-24","59"
"USW00024234","1999-04-25","50"
"USW00024234","1999-04-26","46"
"USW00024234","1999-04-27","48"
"USW00024234","1999-04-28","49"
"USW00024234","1999-04-29","51"
"USW00024234","1999-04-30","53"
"USW00024234","1999-05-01","52"
"USW00024234","1999-05-02","48"
"USW00024234","1999-05-03","50"
"USW00024234","1999-05-04","47"
"USW00024234","1999-05-05","51"
"USW00024234","1999-05-06","52"
"USW00024234","1999-05-07","46"
"USW00024234","1999-05-08","46"
"USW00024234","1999-05-09","47"
"USW00024234","1999-05-10","49"
"USW00024234","1999-05-11","50"
"USW00024234","1999-05-12","50"
"USW00024234","1999-05-13","50"
"USW00024234","1999-05-14","48"
"USW00024234","1999-05-15","47"
"USW00024234","1999-05-16","48"
"USW00024234","1999-05-17","45"
"USW00024234","1999-05-18","56"
"USW00024234","1999-05-19","52"
"USW00024234","1999-05-20","54"
"USW00024234","1999-05-21","56"
"USW00024234","1999-05-22","60"
"USW00024234","1999-05-23","66"
"USW00024234","1999-05-24","65"
"USW00024234","1999-05-25","55"
"USW00024234","1999-05-26","57"
"USW00024234","1999-05-27","62"
"USW00024234","1999-05-28","57"
"USW00024234","1999-05-29","57"
"USW00024234","1999-05-30","59"
"USW00024234","1999-05-31","56"
"USW00024234","1999-06-01","54"
"USW00024234","1999-06-02","55"
"USW00024234","1999-06-03","59"
"USW00024234","1999-06-04","56"
"USW00024234","1999-06-05","54"
"USW00024234","1999-06-06","54"
"USW00024234","1999-06-07","56"
"USW00024234","1999-06-08","55"
"USW00024234","1999-06-09","58"
"USW00024234","1999-06-10","58"
"USW00024234","1999-06-11","64"
"USW00024234","1999-06-12","73"
"USW00024234","1999-06-13","72"
"USW00024234","1999-06-14","72"
"USW00024234","1999-06-15","64"
"USW00024234","1999-06-16","64"
"USW00024234","1999-06-17","64"
"USW00024234","1999-06-18","63"
"USW00024234","1999-06-19","61"
"USW00024234","1999-06-20","60"
"USW00024234","1999-06-21","58"
"USW00024234","1999-06-22","58"
"USW00024234","1999-06-23","63"
"USW00024234","1999-06-24","62"
"USW00024234","1999-06-25","60"
"USW00024234","1999-06-26","58"
"USW00024234","1999-06-27","59"
"USW00024234","1999-06-28","56"
"USW00024234","1999-06-29","61"
"USW00024234","1999-06-30","62"
"USW00024234","1999-07-01","58"
"USW00024234","1999-07-02","56"
"USW00024234","1999-07-03","58"
"USW00024234","1999-07-04","62"
"USW00024234","1999-07-05","63"
"USW00024234","1999-07-06","71"
"USW00024234","1999-07-07","61"
"USW00024234","1999-07-08","62"
"USW00024234","1999-07-09","72"
"USW00024234","1999-07-10","73"
"USW00024234","1999-07-11","70"
"USW00024234","1999-07-12","68"
"USW00024234","1999-07-13","67"
"USW00024234","1999-07-14","61"
"USW00024234","1999-07-15","62"
"USW00024234","1999-07-16","60"
"USW00024234","1999-07-17","58"
"USW00024234","1999-07-18","62"
"USW00024234","1999-07-19","67"
"USW00024234","1999-07-20","68"
"USW00024234","1999-07-21","64"
"USW00024234","1999-07-22","68"
"USW00024234","1999-07-23","64"
"USW00024234","1999-07-24","63"
"USW00024234","1999-07-25","60"
"USW00024234","1999-07-26","65"
"USW00024234","1999-07-27","70"
"USW00024234","1999-07-28","72"
"USW00024234","1999-07-29","61"
"USW00024234","1999-07-30","67"
"USW00024234","1999-07-31","68"
"USW00024234","1999-08-01","65"
"USW00024234","1999-08-02","70"
"USW00024234","1999-08-03","68"
"USW00024234","1999-08-04","68"
"USW00024234","1999-08-05","68"
"USW00024234","1999-08-06","68"
"USW00024234","1999-08-07","66"
"USW00024234","1999-08-08","67"
"USW00024234","1999-08-09","69"
"USW00024234","1999-08-10","69"
"USW00024234","1999-08-11","63"
"USW00024234","1999-08-12","66"
"USW00024234","1999-08-13","64"
"USW00024234","1999-08-14","64"
"USW00024234","1999-08-15","59"
"USW00024234","1999-08-16","68"
"USW00024234","1999-08-17","69"
"USW00024234","1999-08-18","66"
"USW00024234","1999-08-19","67"
"USW00024234","1999-08-20","68"
"USW00024234","1999-08-21","67"
"USW00024234","1999-08-22","66"
"USW00024234","1999-08-23","70"
"USW00024234","1999-08-24","68"
"USW00024234","1999-08-25","68"
"USW00024234","1999-08-26","67"
"USW00024234","1999-08-27","70"
"USW00024234","1999-08-28","68"
"USW00024234","1999-08-29","60"
"USW00024234","1999-08-30","58"
"USW00024234","1999-08-31","57"
"USW00024234","1999-09-01","58"
"USW00024234","1999-09-02","61"
"USW00024234","1999-09-03","62"
"USW00024234","1999-09-04","63"
"USW00024234","1999-09-05","64"
"USW00024234","1999-09-06","62"
"USW00024234","1999-09-07","60"
"USW00024234","1999-09-08","68"
"USW00024234","1999-09-09","63"
"USW00024234","1999-09-10","60"
"USW00024234","1999-09-11","62"
"USW00024234","1999-09-12","67"
"USW00024234","1999-09-13","68"
"USW00024234","1999-09-14","66"
"USW00024234","1999-09-15","56"
"USW00024234","1999-09-16","61"
"USW00024234","1999-09-17","61"
"USW00024234","1999-09-18","63"
"USW00024234","1999-09-19","69"
"USW00024234","1999-09-20","68"
"USW00024234","1999-09-21","67"
"USW00024234","1999-09-22","68"
"USW00024234","1999-09-23","56"
"USW00024234","1999-09-24","56"
"USW00024234","1999-09-25","59"
"USW00024234","1999-09-26","53"
"USW00024234","1999-09-27","52"
"USW00024234","1999-09-28","56"
"USW00024234","1999-09-29","56"
"USW00024234","1999-09-30","53"
"USW00024234","1999-10-01","52"
"USW00024234","1999-10-02","56"
"USW00024234","1999-10-03","53"
"USW00024234","1999-10-04","55"
"USW00024234","1999-10-05","56"
"USW00024234","1999-10-06","59"
"USW00024234","1999-10-07","58"
"USW00024234","1999-10-08","55"
"USW00024234","1999-10-09","54"
"USW00024234","1999-10-10","50"
"USW00024234","1999-10-11","51"
"USW00024234","1999-10-12","55"
"USW00024234","1999-10-13","55"
"USW00024234","1999-10-14","52"
"USW00024234","1999-10-15","48"
"USW00024234","1999-10-16","47"
"USW00024234","1999-10-17","49"
"USW00024234","1999-10-18","54"
"USW00024234","1999-10-19","56"
"USW00024234","1999-10-20","52"
"USW00024234","1999-10-21","54"
"USW00024234","1999-10-22","55"
"USW00024234","1999-10-23","51"
"USW00024234","1999-10-24","51"
"USW00024234","1999-10-25","51"
"USW00024234","1999-10-26","49"
"USW00024234","1999-10-27","49"
"USW00024234","1999-10-28","52"
"USW00024234","1999-10-29","49"
"USW00024234","1999-10-30","54"
"USW00024234","1999-10-31","49"
"USW00024234","1999-11-01","48"
"USW00024234","1999-11-02","44"
"USW00024234","1999-11-03","46"
"USW00024234","1999-11-04","44"
"USW00024234","1999-11-05","43"
"USW00024234","1999-11-06","55"
"USW00024234","1999-11-07","54"
"USW00024234","1999-11-08","53"
"USW00024234","1999-11-09","52"
"USW00024234","1999-11-10","50"
"USW00024234","1999-11-11","54"
"USW00024234","1999-11-12","52"
"USW00024234","1999-11-13","49"
"USW00024234","1999-11-14","53"
"USW00024234","1999-11-15","52"
"USW00024234","1999-11-16","51"
"USW00024234","1999-11-17","48"
"USW00024234","1999-11-18","45"
"USW00024234","1999-11-19","49"
"USW00024234","1999-11-20","46"
"USW00024234","1999-11-21","44"
"USW00024234","1999-11-22","44"
"USW00024234","1999-11-23","46"
"USW00024234","1999-11-24","49"
"USW00024234","1999-11-25","46"
"USW00024234","1999-11-26","44"
"USW00024234","1999-11-27","40"
"USW00024234","1999-11-28","46"
"USW00024234","1999-11-29","49"
"USW00024234","1999-11-30","49"
"USW00024234","1999-12-01","47"
"USW00024234","1999-12-02","43"
"USW00024234","1999-12-03","40"
"USW00024234","1999-12-04","43"
"USW00024234","1999-12-05","47"
"USW00024234","1999-12-06","46"
"USW00024234","1999-12-07","43"
"USW00024234","1999-12-08","43"
"USW00024234","1999-12-09","46"
"USW00024234","1999-12-10","45"
"USW00024234","1999-12-11","50"
"USW00024234","1999-12-12","45"
"USW00024234","1999-12-13","42"
"USW00024234","1999-12-14","46"
"USW00024234","1999-12-15","51"
"USW00024234","1999-12-16","48"
"USW00024234","1999-12-17","46"
"USW00024234","1999-12-18","47"
"USW00024234","1999-12-19","44"
"USW00024234","1999-12-20","46"
"USW00024234","1999-12-21","44"
"USW00024234","1999-12-22","40"
"USW00024234","1999-12-23","41"
"USW00024234","1999-12-24","36"
"USW00024234","1999-12-25","40"
"USW00024234","1999-12-26","36"
"USW00024234","1999-12-27","36"
"USW00024234","1999-12-28","39"
"USW00024234","1999-12-29","38"
"USW00024234","1999-12-30","43"
"USW00024234","1999-12-31","42"
"USW00024234","2000-01-01","42"
"USW00024234","2000-01-02","40"
"USW00024234","2000-01-03","42"
"USW00024234","2000-01-04","46"
"USW00024234","2000-01-05","39"
"USW00024234","2000-01-06","37"
"USW00024234","2000-01-07","44"
"USW00024234","2000-01-08","44"
"USW00024234","2000-01-09","41"
"USW00024234","2000-01-10","37"
"USW00024234","2000-01-11","38"
"USW00024234","2000-01-12","37"
"USW00024234","2000-01-13","39"
"USW00024234","2000-01-14","42"
"USW00024234","2000-01-15","39"
"USW00024234","2000-01-16","45"
"USW00024234","2000-01-17","42"
"USW00024234","2000-01-18","37"
"USW00024234","2000-01-19","37"
"USW00024234","2000-01-20","42"
"USW00024234","2000-01-21","45"
"USW00024234","2000-01-22","42"
"USW00024234","2000-01-23","41"
"USW00024234","2000-01-24","42"
"USW00024234","2000-01-25","44"
"USW00024234","2000-01-26","40"
"USW00024234","2000-01-27","41"
"USW00024234","2000-01-28","40"
"USW00024234","2000-01-29","40"
"USW00024234","2000-01-30","40"
"USW00024234","2000-01-31","45"
"USW00024234","2000-02-01","47"
"USW00024234","2000-02-02","44"
"USW00024234","2000-02-03","48"
"USW00024234","2000-02-04","46"
"USW00024234","2000-02-05","44"
"USW00024234","2000-02-06","50"
"USW00024234","2000-02-07","48"
"USW00024234","2000-02-08","46"
"USW00024234","2000-02-09","45"
"USW00024234","2000-02-10","41"
"USW00024234","2000-02-11","43"
"USW00024234","2000-02-12","40"
"USW00024234","2000-02-13","41"
"USW00024234","2000-02-14","41"
"USW00024234","2000-02-15","43"
"USW00024234","2000-02-16","42"
"USW00024234","2000-02-17","38"
"USW00024234","2000-02-18","39"
"USW00024234","2000-02-19","42"
"USW00024234","2000-02-20","44"
"USW00024234","2000-02-21","47"
"USW00024234","2000-02-22","45"
"USW00024234","2000-02-23","43"
"USW00024234","2000-02-24","43"
"USW00024234","2000-02-25","41"
"USW00024234","2000-02-26","44"
"USW00024234","2000-02-27","50"
"USW00024234","2000-02-28","46"
"USW00024234","2000-02-29","49"
"USW00024234","2000-03-01","44"
"USW00024234","2000-03-02","49"
"USW00024234","2000-03-03","47"
"USW00024234","2000-03-04","42"
"USW00024234","2000-03-05","41"
"USW00024234","2000-03-06","43"
"USW00024234","2000-03-07","42"
"USW00024234","2000-03-08","47"
"USW00024234","2000-03-09","46"
"USW00024234","2000-03-10","44"
"USW00024234","2000-03-11","45"
"USW00024234","2000-03-12","42"
"USW00024234","2000-03-13","50"
"USW00024234","2000-03-14","45"
"USW00024234","2000-03-15","42"
"USW00024234","2000-03-16","48"
"USW00024234","2000-03-17","45"
"USW00024234","2000-03-18","47"
"USW00024234","2000-03-19","41"
"USW00024234","2000-03-20","51"
"USW00024234","2000-03-21","50"
"USW00024234","2000-03-22","49"
"USW00024234","2000-03-23","47"
"USW00024234","2000-03-24","46"
"USW00024234","2000-03-25","46"
"USW00024234","2000-03-26","47"
"USW00024234","2000-03-27","49"
"USW00024234","2000-03-28","46"
"USW00024234","2000-03-29","45"
"USW00024234","2000-03-30","48"
"USW00024234","2000-03-31","52"
"USW00024234","2000-04-01","56"
"USW00024234","2000-04-02","54"
"USW00024234","2000-04-03","56"
"USW00024234","2000-04-04","48"
"USW00024234","2000-04-05","46"
"USW00024234","2000-04-06","47"
"USW00024234","2000-04-07","50"
"USW00024234","2000-04-08","54"
"USW00024234","2000-04-09","52"
"USW00024234","2000-04-10","54"
"USW00024234","2000-04-11","58"
"USW00024234","2000-04-12","56"
"USW00024234","2000-04-13","56"
"USW00024234","2000-04-14","52"
"USW00024234","2000-04-15","53"
"USW00024234","2000-04-16","49"
"USW00024234","2000-04-17","53"
"USW00024234","2000-04-18","55"
"USW00024234","2000-04-19","55"
"USW00024234","2000-04-20","58"
"USW00024234","2000-04-21","56"
"USW00024234","2000-04-22","51"
"USW00024234","2000-04-23","45"
"USW00024234","2000-04-24","45"
"USW00024234","2000-04-25","49"
"USW00024234","2000-04-26","53"
"USW00024234","2000-04-27","51"
"USW00024234","2000-04-28","47"
"USW00024234","2000-04-29","48"
"USW00024234","2000-04-30","57"
"USW00024234","2000-05-01","57"
"USW00024234","2000-05-02","58"
"USW00024234","2000-05-03","53"
"USW00024234","2000-05-04","51"
"USW00024234","2000-05-05","51"
"USW00024234","2000-05-06","51"
"USW00024234","2000-05-07","58"
"USW00024234","2000-05-08","52"
"USW00024234","2000-05-09","49"
"USW00024234","2000-05-10","50"
"USW00024234","2000-05-11","54"
"USW00024234","2000-05-12","53"
"USW00024234","2000-05-13","57"
"USW00024234","2000-05-14","65"
"USW00024234","2000-05-15","65"
"USW00024234","2000-05-16","63"
"USW00024234","2000-05-17","56"
"USW00024234","2000-05-18","59"
"USW00024234","2000-05-19","63"
"USW00024234","2000-05-20","60"
"USW00024234","2000-05-21","63"
"USW00024234","2000-05-22","60"
"USW00024234","2000-05-23","59"
"USW00024234","2000-05-24","59"
"USW00024234","2000-05-25","56"
"USW00024234","2000-05-26","57"
"USW00024234","2000-05-27","60"
"USW00024234","2000-05-28","58"
"USW00024234","2000-05-29","58"
"USW00024234","2000-05-30","54"
"USW00024234","2000-05-31","57"
"USW00024234","2000-06-01","60"
"USW00024234","2000-06-02","62"
"USW00024234","2000-06-03","66"
"USW00024234","2000-06-04","72"
"USW00024234","2000-06-05","63"
"USW00024234","2000-06-06","60"
"USW00024234","2000-06-07","57"
"USW00024234","2000-06-08","60"
"USW00024234","2000-06-09","56"
"USW00024234","2000-06-10","56"
"USW00024234","2000-06-11","54"
"USW00024234","2000-06-12","61"
"USW00024234","2000-06-13","61"
"USW00024234","2000-06-14","61"
"USW00024234","2000-06-15","60"
"USW00024234","2000-06-16","63"
"USW00024234","2000-06-17","68"
"USW00024234","2000-06-18","61"
"USW00024234","2000-06-19","61"
"USW00024234","2000-06-20","63"
"USW00024234","2000-06-21","65"
"USW00024234","2000-06-22","63"
"USW00024234","2000-06-23","63"
"USW00024234","2000-06-24","65"
"USW00024234","2000-06-25","68"
"USW00024234","2000-06-26","72"
"USW00024234","2000-06-27","76"
"USW00024234","2000-06-28","77"
"USW00024234","2000-06-29","64"
"USW00024234","2000-06-30","61"
"USW00024234","2000-07-01","58"
"USW00024234","2000-07-02","60"
"USW00024234","2000-07-03","58"
"USW00024234","2000-07-04","61"
"USW00024234","2000-07-05","63"
"USW00024234","2000-07-06","66"
"USW00024234","2000-07-07","67"
"USW00024234","2000-07-08","63"
"USW00024234","2000-07-09","64"
"USW00024234","2000-07-10","64"
"USW00024234","2000-07-11","64"
"USW00024234","2000-07-12","66"
"USW00024234","2000-07-13","63"
"USW00024234","2000-07-14","64"
"USW00024234","2000-07-15","64"
"USW00024234","2000-07-16","69"
"USW00024234","2000-07-17","71"
"USW00024234","2000-07-18","64"
"USW00024234","2000-07-19","66"
"USW00024234","2000-07-20","69"
"USW00024234","2000-07-21","70"
"USW00024234","2000-07-22","61"
"USW00024234","2000-07-23","68"
"USW00024234","2000-07-24","68"
"USW00024234","2000-07-25","66"
"USW00024234","2000-07-26","65"
"USW00024234","2000-07-27","70"
"USW00024234","2000-07-28","68"
"USW00024234","2000-07-29","70"
"USW00024234","2000-07-30","73"
"USW00024234","2000-07-31","71"
"USW00024234","2000-08-01","69"
"USW00024234","2000-08-02","69"
"USW00024234","2000-08-03","68"
"USW00024234","2000-08-04","73"
"USW00024234","2000-08-05","71"
"USW00024234","2000-08-06","67"
"USW00024234","2000-08-07","66"
"USW00024234","2000-08-08","70"
"USW00024234","2000-08-09","65"
"USW00024234","2000-08-10","64"
"USW00024234","2000-08-11","64"
"USW00024234","2000-08-12","63"
"USW00024234","2000-08-13","61"
"USW00024234","2000-08-14","61"
"USW00024234","2000-08-15","60"
"USW00024234","2000-08-16","64"
"USW00024234","2000-08-17","62"
"USW00024234","2000-08-18","61"
"USW00024234","2000-08-19","62"
"USW00024234","2000-08-20","62"
"USW00024234","2000-08-21","60"
"USW00024234","2000-08-22","65"
"USW00024234","2000-08-23","70"
"USW00024234","2000-08-24","66"
"USW00024234","2000-08-25","68"
"USW00024234","2000-08-26","62"
"USW00024234","2000-08-27","61"
"USW00024234","2000-08-28","62"
"USW00024234","2000-08-29","60"
"USW00024234","2000-08-30","63"
"USW00024234","2000-08-31","61"
"USW00024234","2000-09-01","60"
"USW00024234","2000-09-02","60"
"USW00024234","2000-09-03","60"
"USW00024234","2000-09-04","60"
"USW00024234","2000-09-05","57"
"USW00024234","2000-09-06","62"
"USW00024234","2000-09-07","56"
"USW00024234","2000-09-08","60"
"USW00024234","2000-09-09","59"
"USW00024234","2000-09-10","56"
"USW00024234","2000-09-11","61"
"USW00024234","2000-09-12","63"
"USW00024234","2000-09-13","66"
"USW00024234","2000-09-14","74"
"USW00024234","2000-09-15","68"
"USW00024234","2000-09-16","66"
"USW00024234","2000-09-17","67"
"USW00024234","2000-09-18","67"
"USW00024234","2000-09-19","65"
"USW00024234","2000-09-20","61"
"USW00024234","2000-09-21","61"
"USW00024234","2000-09-22","57"
"USW00024234","2000-09-23","56"
"USW00024234","2000-09-24","57"
"USW00024234","2000-09-25","58"
"USW00024234","2000-09-26","60"
"USW00024234","2000-09-27","62"
"USW00024234","2000-09-28","60"
"USW00024234","2000-09-29","63"
"USW00024234","2000-09-30","60"
"USW00024234","2000-10-01","56"
"USW00024234","2000-10-02","56"
"USW00024234","2000-10-03","52"
"USW00024234","2000-10-04","50"
"USW00024234","2000-10-05","58"
"USW00024234","2000-10-06","60"
"USW00024234","2000-10-07","60"
"USW00024234","2000-10-08","59"
"USW00024234","2000-10-09","56"
"USW00024234","2000-10-10","54"
"USW00024234","2000-10-11","55"
"USW00024234","2000-10-12","54"
"USW00024234","2000-10-13","56"
"USW00024234","2000-10-14","51"
"USW00024234","2000-10-15","47"
"USW00024234","2000-10-16","53"
"USW00024234","2000-10-17","59"
"USW00024234","2000-10-18","54"
"USW00024234","2000-10-19","51"
"USW00024234","2000-10-20","53"
"USW00024234","2000-10-21","50"
"USW00024234","2000-10-22","48"
"USW00024234","2000-10-23","52"
"USW00024234","2000-10-24","51"
"USW00024234","2000-10-25","53"
"USW00024234","2000-10-26","51"
"USW00024234","2000-10-27","53"
"USW00024234","2000-10-28","52"
"USW00024234","2000-10-29","52"
"USW00024234","2000-10-30","45"
"USW00024234","2000-10-31","50"
"USW00024234","2000-11-01","46"
"USW00024234","2000-11-02","50"
"USW00024234","2000-11-03","50"
"USW00024234","2000-11-04","52"
"USW00024234","2000-11-05","49"
"USW00024234","2000-11-06","48"
"USW00024234","2000-11-07","44"
"USW00024234","2000-11-08","44"
"USW00024234","2000-11-09","43"
"USW00024234","2000-11-10","40"
"USW00024234","2000-11-11","34"
"USW00024234","2000-11-12","40"
"USW00024234","2000-11-13","42"
"USW00024234","2000-11-14","39"
"USW00024234","2000-11-15","36"
"USW00024234","2000-11-16","36"
"USW00024234","2000-11-17","36"
"USW00024234","2000-11-18","37"
"USW00024234","2000-11-19","37"
"USW00024234","2000-11-20","43"
"USW00024234","2000-11-21","41"
"USW00024234","2000-11-22","40"
"USW00024234","2000-11-23","40"
"USW00024234","2000-11-24","46"
"USW00024234","2000-11-25","43"
"USW00024234","2000-11-26","47"
"USW00024234","2000-11-27","41"
"USW00024234","2000-11-28","39"
"USW00024234","2000-11-29","46"
"USW00024234","2000-11-30","48"
"USW00024234","2000-12-01","49"
"USW00024234","2000-12-02","44"
"USW00024234","2000-12-03","39"
"USW00024234","2000-12-04","46"
"USW00024234","2000-12-05","42"
"USW00024234","2000-12-06","41"
"USW00024234","2000-12-07","35"
"USW00024234","2000-12-08","37"
"USW00024234","2000-12-09","39"
"USW00024234","2000-12-10","36"
"USW00024234","2000-12-11","37"
"USW00024234","2000-12-12","32"
"USW00024234","2000-12-13","34"
"USW00024234","2000-12-14","38"
"USW00024234","2000-12-15","39"
"USW00024234","2000-12-16","45"
"USW00024234","2000-12-17","42"
"USW00024234","2000-12-18","38"
"USW00024234","2000-12-19","36"
"USW00024234","2000-12-20","38"
"USW00024234","2000-12-21","44"
"USW00024234","2000-12-22","42"
"USW00024234","2000-12-23","44"
"USW00024234","2000-12-24","46"
"USW00024234","2000-12-25","47"
"USW00024234","2000-12-26","49"
"USW00024234","2000-12-27","46"
"USW00024234","2000-12-28","42"
"USW00024234","2000-12-29","41"
"USW00024234","2000-12-30","46"
"USW00024234","2000-12-31","45"
"USW00024234","2001-01-01","41"
"USW00024234","2001-01-02","46"
"USW00024234","2001-01-03","44"
"USW00024234","2001-01-04","50"
"USW00024234","2001-01-05","47"
"USW00024234","2001-01-06","41"
"USW00024234","2001-01-07","44"
"USW00024234","2001-01-08","44"
"USW00024234","2001-01-09","41"
"USW00024234","2001-01-10","46"
"USW00024234","2001-01-11","48"
"USW00024234","2001-01-12","44"
"USW00024234","2001-01-13","41"
"USW00024234","2001-01-14","40"
"USW00024234","2001-01-15","42"
"USW00024234","2001-01-16","36"
"USW00024234","2001-01-17","36"
"USW00024234","2001-01-18","43"
"USW00024234","2001-01-19","44"
"USW00024234","2001-01-20","42"
"USW00024234","2001-01-21","43"
"USW00024234","2001-01-22","43"
"USW00024234","2001-01-23","48"
"USW00024234","2001-01-24","45"
"USW00024234","2001-01-25","41"
"USW00024234","2001-01-26","44"
"USW00024234","2001-01-27","37"
"USW00024234","2001-01-28","36"
"USW00024234","2001-01-29","45"
"USW00024234","2001-01-30","44"
"USW00024234","2001-01-31","42"
"USW00024234","2001-02-01","44"
"USW00024234","2001-02-02","46"
"USW00024234","2001-02-03","44"
"USW00024234","2001-02-04","48"
"USW00024234","2001-02-05","43"
"USW00024234","2001-02-06","40"
"USW00024234","2001-02-07","34"
"USW00024234","2001-02-08","36"
"USW00024234","2001-02-09","40"
"USW00024234","2001-02-10","38"
"USW00024234","2001-02-11","40"
"USW00024234","2001-02-12","37"
"USW00024234","2001-02-13","39"
"USW00024234","2001-02-14","37"
"USW00024234","2001-02-15","39"
"USW00024234","2001-02-16","37"
"USW00024234","2001-02-17","41"
"USW00024234","2001-02-18","45"
"USW00024234","2001-02-19","41"
"USW00024234","2001-02-20","43"
"USW00024234","2001-02-21","47"
"USW00024234","2001-02-22","46"
"USW00024234","2001-02-23","43"
"USW00024234","2001-02-24","44"
"USW00024234","2001-02-25","42"
"USW00024234","2001-02-26","39"
"USW00024234","2001-02-27","43"
"USW00024234","2001-02-28",
"USW00024234","2001-03-01","42"
"USW00024234","2001-03-02","41"
"USW00024234","2001-03-03","38"
"USW00024234","2001-03-04","42"
"USW00024234","2001-03-05","51"
"USW00024234","2001-03-06","50"
"USW00024234","2001-03-07","53"
"USW00024234","2001-03-08","50"
"USW00024234","2001-03-09","45"
"USW00024234","2001-03-10","45"
"USW00024234","2001-03-11","47"
"USW00024234","2001-03-12","48"
"USW00024234","2001-03-13","46"
"USW00024234","2001-03-14","45"
"USW00024234","2001-03-15","44"
"USW00024234","2001-03-16","42"
"USW00024234","2001-03-17","48"
"USW00024234","2001-03-18","51"
"USW00024234","2001-03-19","46"
"USW00024234","2001-03-20","46"
"USW00024234","2001-03-21","47"
"USW00024234","2001-03-22","46"
"USW00024234","2001-03-23","49"
"USW00024234","2001-03-24","55"
"USW00024234","2001-03-25","51"
"USW00024234","2001-03-26","46"
"USW00024234","2001-03-27","44"
"USW00024234","2001-03-28","47"
"USW00024234","2001-03-29","46"
"USW00024234","2001-03-30","49"
"USW00024234","2001-03-31","50"
